userid,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21,s_22,s_23,s_24,s_25,s_26,s_27,s_28,s_29,s_30,s_31,s_32,s_33,s_34,s_35,s_36,s_37,s_38,s_39,s_40,s_41,s_42,s_43,s_44,s_45,s_46,s_47,s_48
604adb5a2ffd0f8313a8b6f1da784ba5,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,4,4,2,3,3,4,4,4,4,4,3,4,4,4,4,4,4,3,2,3,4,4,2,5,4,4
9feda7bbf2a2e9b1b6ed4a1daa538960,2,3,2,2,2,2,3,2,2,2,3,3,2,2,2,2,3,3,3,2,2,3,3,3,2,3,2,2,3,3,3,2,3,2,2,2,2,3,3,3,1,3,3,3,2,2,3,2
f081b3cddc1a85f07c2560673f28547f,4,4,4,4,4,2,3,4,3,3,3,4,3,4,3,4,4,3,4,4,4,4,3,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,4
b2d48f67a089cc23fb2bc7729f8a2300,4,5,1,2,4,4,3,4,2,1,1,4,1,3,1,4,5,4,5,2,3,4,4,2,2,4,5,3,4,4,4,3,2,2,3,4,3,4,4,4,1,1,4,4,1,1,1,3
95289197f5de3bb81c7622133a0199ee,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,3,3,3,5,5,5,5,5,5
76fa75f0e9cd794207dda975ca84dfb3,5,4,3,3,3,3,3,2,3,1,1,4,1,3,3,1,3,2,3,1,4,4,4,4,2,2,2,3,4,3,3,3,3,3,3,3,4,4,4,1,2,2,4,4,2,2,2,3
9b430de7406c68bb31fd726c99ac3558,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1d6a9b03150137d40a4b024518aa0fa6,4,2,2,4,1,1,4,4,4,1,1,2,1,3,1,4,4,3,4,1,2,4,2,1,2,1,3,3,4,3,5,4,2,3,2,4,2,4,4,4,1,1,4,2,1,1,1,1
3750e5317d2967d407e66236ad3b7ab5,4,4,2,3,4,4,4,2,4,3,3,4,5,5,4,4,4,4,5,4,3,4,3,4,4,3,2,4,5,4,5,3,5,5,4,3,4,5,5,3,1,4,3,2,1,1,1,3
d21e4243dd618580580846f676c2b85a,4,3,2,2,4,2,3,3,3,3,3,4,3,3,2,4,3,4,3,3,2,3,4,3,3,2,3,3,4,3,4,3,4,3,3,3,3,3,4,3,3,4,4,4,3,2,2,2
f83882e0705489c3c0514fe226fdda4f,4,3,5,5,3,4,4,3,2,4,5,2,4,3,4,4,2,4,3,4,4,4,2,4,2,3,5,3,2,3,2,4,4,2,3,4,3,3,3,3,2,4,3,3,3,3,2,4
f1641addf883c1130a801d06d07eef4c,3,4,4,2,4,2,2,3,3,1,1,2,2,3,2,4,3,3,2,3,4,3,3,3,3,3,2,4,5,3,4,5,5,4,3,4,3,3,4,3,3,3,4,5,1,1,2,3
8b1862b185a8d8e375ab781e55e3c39a,5,5,4,5,4,4,5,4,5,4,4,4,4,4,5,4,5,4,5,5,4,4,5,4,3,4,4,5,5,4,5,5,4,5,4,5,4,5,4,4,4,4,4,4,4,4,4,4
5d83718570cad6c421fc5c9e9b80159e,4,3,4,2,2,2,2,3,2,3,2,3,4,3,4,3,3,2,2,4,4,2,2,3,2,4,2,3,3,4,4,4,4,3,3,3,2,2,3,4,4,3,2,3,3,3,3,3
92f1d409e9283fc62ebc7d59279f15c3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,4,4,3,3,4,4,3,4,4,4,4,4,4,2,3,4,4,3,3,3,3
3e5fd8ec3f352d90ff3906ae403ebeac,3,3,2,3,4,2,3,2,3,2,3,3,4,4,2,3,3,4,4,3,2,4,4,4,2,2,2,2,3,3,4,4,3,3,3,3,4,4,4,2,2,4,4,2,2,1,1,2
579c29c5407ed999b692374653d25a61,4,5,4,4,1,2,3,2,4,2,2,3,1,3,1,2,1,1,4,1,1,4,3,3,2,2,1,4,4,4,3,3,2,2,3,4,4,4,3,4,1,1,1,1,1,1,1,1
f0c4f08113a2bc5a9275dd881c616a92,4,3,4,2,2,3,3,4,3,2,2,3,2,3,2,4,4,4,4,3,3,3,4,2,2,2,2,3,4,4,4,3,4,3,3,4,2,3,4,4,2,2,4,4,2,1,3,2
97ff350207ca6a952e2b62129e0549f0,5,3,4,3,4,4,3,3,3,1,1,4,1,3,1,4,4,4,5,4,4,4,3,4,3,2,3,4,4,2,2,4,3,2,4,4,3,4,4,3,2,3,4,5,1,1,1,1
93229bfed1b03a573e6139c21fc4e5c7,3,3,2,4,5,2,3,3,3,4,4,5,5,3,4,4,2,2,5,3,1,5,5,4,2,4,4,3,4,3,5,4,4,3,3,5,1,4,5,5,1,4,5,5,1,5,1,1
cb75e24ff92bb3f07f0051b945d5295b,4,4,4,3,4,4,3,4,4,3,3,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3
4e4fc034dea12369dc5de555ad478a07,4,4,2,3,4,2,3,2,3,2,3,4,1,4,3,4,4,4,5,3,2,4,5,4,2,3,2,4,5,5,4,4,5,4,3,4,3,4,5,2,1,3,4,5,2,1,4,4
cdac3b51658dd26dd9cb7a70260f9af5,4,5,2,1,1,3,3,1,3,2,2,4,2,5,1,1,4,4,4,4,2,5,5,4,4,2,2,4,3,3,5,4,5,3,3,4,3,5,5,4,1,3,4,4,1,1,1,2
320c71e05fde5152c26575798bfeb953,5,5,4,5,2,5,3,5,4,3,5,4,5,4,2,5,5,5,5,2,4,3,5,3,4,5,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,3,5,5,2,4,2,5
a2dc2d0036c53b22cb9fb6bc280809f5,4,3,5,4,2,2,2,2,3,3,3,5,3,3,2,1,2,2,5,3,2,4,5,2,1,3,2,5,5,3,5,4,5,3,3,2,3,5,5,4,1,3,5,5,3,3,1,2
6ae71a054e9a503a1f0950de131833a2,4,4,4,3,4,3,4,2,4,2,3,4,3,3,3,3,4,4,4,2,3,5,2,5,2,3,2,3,4,3,4,4,5,2,2,4,4,3,4,4,1,4,5,4,1,1,2,2
e4f677ad43c84ada8abc579c6abf9aee,4,4,3,1,3,1,4,3,4,3,2,2,3,3,2,3,4,4,4,4,4,4,4,4,3,3,4,4,5,5,4,4,4,4,4,4,4,3,4,1,1,5,4,4,2,1,1,4
af4a88df59c0df41ee7fca0ca57fba3a,3,4,4,3,2,3,3,3,3,2,2,2,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,3,3,2,2,2,3,2,3,3,4,1,3,4,3,1,3,1,1
6f07da24588ef7be16618bbe848d2aa6,4,4,2,2,5,2,3,2,4,3,2,3,4,4,3,4,4,4,4,3,2,5,4,3,1,4,2,3,4,4,5,4,5,3,4,4,4,4,4,2,1,3,4,4,4,2,2,3
b7848fb18dbf386464e7cb7c37758241,4,3,2,3,3,2,3,2,4,2,2,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,3,2,3,2,3,3,2,3,3,3,3,3,3,3,1,1,3,3,2,4,1,1
0c7b9053af0850d3eaa8b61de50a26cd,4,4,3,5,3,3,4,4,4,2,2,3,3,4,2,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,3,3,4,4,1,2,2,3
02d679ad650962b6ae8bf8adbeeb33c1,4,2,2,2,2,2,2,3,1,1,1,1,1,1,1,1,3,3,3,2,2,1,3,2,1,2,1,3,3,1,3,2,3,2,2,2,4,3,4,4,2,3,5,5,1,5,5,2
f79d398d62d5eaff8d7b1f9f6aaf65ab,4,3,3,4,4,5,3,2,3,3,4,4,4,3,3,4,4,4,3,3,2,3,4,3,4,3,4,4,4,3,3,3,4,3,3,4,3,3,4,3,1,3,3,2,3,4,2,3
6a574b00e6da1dad01065f3d90738721,3,4,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,4,3,5,4,3,3,4,3,3,4,3,3
d5a1f82d20610cfc2ee2df22e16ad238,4,4,2,4,3,2,5,1,4,2,4,3,3,1,2,4,4,2,4,2,4,4,3,3,3,2,2,1,3,3,4,2,2,1,2,4,3,4,4,1,1,1,4,2,2,3,1,1
98a2576c48530076abcaf557f266efd9,4,2,5,3,2,1,3,4,2,1,1,2,1,2,3,1,3,4,5,2,2,3,3,1,3,1,1,1,4,3,3,2,2,2,3,3,2,4,5,3,1,2,5,2,1,1,1,1
32e7400bb54ff66588587d2f2b1b22c2,5,4,5,4,3,4,5,3,5,4,5,5,3,5,5,5,5,5,5,5,4,5,5,3,2,2,4,5,5,3,5,5,2,4,5,5,5,5,5,3,2,4,5,4,3,5,2,3
995eae68fe66f02aa88128425cc87e81,4,4,2,4,3,4,4,2,4,3,3,4,4,3,1,4,4,4,4,2,3,4,4,4,3,4,2,4,4,3,4,4,4,2,3,4,5,4,5,4,1,4,4,4,2,5,2,3
321fe53fdc9f70e4d17930e03cbd49e7,4,4,2,2,3,2,2,2,3,2,3,3,4,3,3,5,4,4,3,3,2,4,4,3,3,2,3,3,3,3,4,3,3,2,3,4,4,4,3,2,1,1,4,4,4,3,1,4
9879db96946fbb8a3e255ab8815c577e,3,4,2,3,3,3,3,3,3,2,1,1,1,1,1,3,3,3,3,2,2,4,2,2,3,1,1,2,3,3,4,4,2,2,2,3,3,4,4,4,1,1,3,4,1,1,1,2
3d2fd5b219300a9aee7b21887a24c539,5,4,4,3,2,4,4,3,4,2,3,4,4,5,3,4,5,5,5,4,5,5,4,5,5,3,4,5,5,4,5,5,2,5,4,5,4,5,5,5,1,4,4,1,1,1,1,4
59d4d32d1adaab3ed5ecbf5ca9d728ca,5,5,5,5,3,4,3,3,3,4,4,5,5,5,4,5,5,5,5,4,4,5,5,5,4,4,3,5,5,5,5,3,3,5,5,5,5,5,5,3,2,3,4,3,2,5,3,3
77174b6a21fc52977ea8a50f8e325beb,4,3,3,4,2,3,3,4,3,2,2,3,4,3,3,4,4,5,5,2,4,5,4,3,2,2,4,3,5,4,5,4,4,3,5,4,4,4,5,3,1,3,5,5,2,1,3,3
60085c119be41ce2a56c2576583d821c,4,4,2,2,2,3,2,3,4,1,2,3,3,3,2,2,4,3,3,3,2,4,4,2,4,3,1,4,3,3,3,4,4,4,4,4,4,5,5,3,1,4,5,5,2,4,2,2
5104564f160fb05b4b79bbdb09c03c4f,4,4,2,4,4,3,2,4,3,1,2,3,2,3,2,3,4,3,3,3,2,4,4,3,1,1,2,3,4,2,3,2,3,2,4,3,4,4,3,4,1,2,4,3,1,2,1,2
3723be496725be52bc640fd39aea51e6,2,2,2,2,4,2,1,1,1,1,1,3,2,1,4,2,3,2,4,1,2,4,2,1,1,4,1,1,4,1,3,3,2,3,2,1,1,4,4,5,1,2,4,1,1,1,1,1
d5d6ef4cf638f306e8948582b7662c45,4,4,4,3,1,1,4,4,5,1,4,3,4,5,3,5,5,4,4,2,2,5,3,2,3,3,4,5,5,4,5,5,4,5,5,5,5,5,5,5,2,4,4,5,3,2,1,4
b3544e076d49acb0dd2af969419895f0,4,5,2,2,4,2,3,3,4,1,1,2,1,3,1,1,3,4,3,3,4,1,2,2,1,1,1,1,2,1,3,3,1,1,1,3,2,3,3,3,1,1,4,2,1,1,1,1
c2e15430ed832457c780c948b21c37ec,4,2,2,3,3,1,2,4,2,3,3,3,2,3,1,2,4,4,3,2,1,4,4,3,2,2,1,3,3,2,2,2,3,2,1,4,2,3,4,4,1,4,5,4,3,4,1,2
8e72970e2fdad1fa564d800ba15d72c4,4,4,2,2,2,2,3,2,4,2,2,1,1,3,1,3,3,3,4,2,4,4,4,3,1,3,1,2,3,3,4,3,4,3,4,3,3,4,4,4,1,4,5,3,1,1,1,1
65e452ca8afdf0ba6a8cbc4af63da728,3,4,1,1,3,2,2,2,2,1,3,2,3,3,2,2,5,5,3,1,1,5,3,4,1,3,2,4,3,4,5,3,5,4,3,3,5,5,5,1,1,4,5,5,1,1,1,5
64d3bd3b339f63a66b8c878b561551d8,2,3,1,1,4,2,3,2,3,1,1,1,5,1,1,2,3,2,4,1,4,4,4,4,1,4,3,4,3,1,4,3,5,1,3,4,1,4,2,5,1,4,4,4,1,5,5,1
