userid,srl_s_1,srl_s_2,srl_s_3,srl_s_4,srl_s_5,srl_s_6,srl_s_7,srl_s_8,srl_s_9,srl_s_10,srl_s_11,srl_s_12,srl_s_13,srl_s_14,srl_s_15,srl_s_16,srl_s_17,srl_s_18,srl_s_19,srl_s_20,srl_s_21,srl_s_22,srl_s_23,srl_s_24,srl_s_25,srl_s_26,srl_s_27,srl_s_28,srl_s_29,srl_s_30,srl_s_31,srl_s_32,srl_s_33,srl_s_34,srl_s_35,srl_s_36,srl_s_37,srl_s_38,srl_s_39,srl_s_40,srl_s_41,srl_s_42,srl_s_43,srl_s_44,srl_s_45,srl_s_46,srl_s_47,srl_s_48,srl_s_49,srl_s_50
0893afc2979ccf5f527671c3e992b919,4,4,4,4,5,3,4,4,4,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,2,4,4,4,2,4,4,4,2,4,4,2,1,2,4,2,3,4,2,5,5,3,5,5
9006ac1ce180f9fe99020dcf994e5caf,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,2,5,5,5,3,5,5,2,5,5,5,5,5,5,3,5,5,4,2,1,1,5,1,5,3,5,5,5,4,3,3
ac06d011493e36e5a90a1fcc46dc76b4,2,4,4,3,4,2,2,4,4,2,4,4,2,4,2,2,2,2,2,3,3,4,4,4,2,2,3,3,4,3,3,3,3,3,3,3,4,3,2,2,3,2,4,4,2,3,3,3,3,3
39fabaf5c4a1ef9c0c2efa3435808cb7,4,4,4,3,4,4,4,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,2,2,2,4,2,4,3,2,3,3,3,3,3
18d19ec35e364e5d080fa6726c4ddd3d,5,5,5,5,5,1,5,5,5,5,5,5,5,5,3,5,1,3,5,1,5,5,5,5,4,5,3,5,5,5,5,4,4,5,5,5,5,1,1,5,5,1,4,5,5,5,5,1,1,1
bb25d1cdaf2556881abbf7a6ac35bcea,3,4,4,2,5,1,2,2,4,3,4,4,1,4,1,1,3,4,4,4,4,3,5,3,4,2,2,4,5,4,3,4,3,4,4,2,3,4,3,4,4,2,3,5,3,4,4,4,2,2
f28468ca22ffa25c8ecaa115bcf63525,5,5,5,4,4,5,5,3,3,5,2,3,4,3,4,4,3,4,5,2,3,4,5,5,3,2,2,1,5,4,2,3,3,3,3,4,3,2,3,1,3,1,3,5,4,2,2,5,1,2
05e2070fda187d005227483d6ab5f6c2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,2,2,2,4,2,3,4,4,4,4,3,4,3
c8e989151862fda40d1acce108830bc7,5,5,5,5,5,4,3,5,4,3,5,5,3,4,1,3,3,3,3,2,3,4,4,5,4,5,2,4,5,4,4,5,5,4,5,4,5,2,1,1,3,2,4,5,3,5,5,3,4,4
1d3792de851d01cdaffb547d58484089,5,5,5,5,5,5,5,5,3,4,5,5,3,5,3,3,5,5,3,3,3,3,5,5,3,5,1,5,5,4,3,5,3,3,5,4,5,1,3,1,5,1,5,5,1,1,1,1,1,1
b3ee70371843c8e0012d80cb9ffb54fc,2,3,3,3,4,3,2,1,2,2,4,4,2,2,2,2,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,3,5,4,4,2,3,4,3,4,2,5,5,2,5,4
9faad535830e1b44fa05fe3c876809c4,4,3,3,3,3,2,2,3,3,2,2,4,2,3,2,2,4,2,3,4,2,2,3,3,3,2,3,3,4,3,3,2,2,3,4,4,5,4,2,3,3,3,3,4,4,4,4,2,3,2
5b74113ef1df84fa555cb313e42eb4e0,3,3,4,3,4,4,3,3,3,2,4,4,4,4,3,4,4,3,4,4,3,5,4,3,3,3,2,4,3,4,3,3,4,3,3,5,5,2,2,3,4,3,5,3,3,5,5,3,4,3
74fd266161bfb4f7275093067f5685e8,4,5,5,5,2,4,4,4,5,4,5,5,3,5,3,3,5,4,2,4,4,4,4,2,4,4,4,5,4,4,2,4,2,5,2,2,4,1,1,3,4,4,4,4,2,5,2,4,1,1
9a566ba934022cce7a1b0a359216cd45,3,3,3,2,3,2,3,2,3,2,3,3,1,3,3,2,2,3,3,2,1,2,2,2,3,2,1,2,3,3,3,3,3,3,3,3,3,1,2,1,3,2,3,2,2,2,2,2,3,1
4ea936760a6061ab2fcad91928a088da,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,2,2,3,4,4,4,3,1,1,1
5819e6d19eea8dd526357041097e117f,4,4,4,4,5,4,4,3,4,3,4,4,3,3,3,4,4,4,3,3,3,5,4,3,3,4,3,3,4,3,3,4,4,3,4,3,4,3,3,2,3,2,3,4,3,4,4,3,4,4
673f7369aea73bb9ee3c7ec2ca7aeaa6,4,4,4,4,4,3,4,4,4,3,5,5,3,5,2,2,4,4,2,4,2,4,4,4,2,4,2,4,4,2,4,4,4,2,4,5,5,2,2,2,2,2,4,2,2,5,5,1,5,5
636f57d855ed9745c7dd7b758aef8ee4,2,2,2,2,2,3,3,2,2,3,2,3,2,3,2,3,4,3,2,4,2,2,2,2,2,4,4,3,3,4,2,2,2,4,2,2,4,3,2,3,4,3,4,1,2,5,5,2,5,5
7950f1a5bfa0c1d604ee02e77e8032fe,3,3,4,4,4,4,4,3,3,4,3,3,3,3,4,4,3,4,4,3,3,3,4,3,3,3,2,3,3,3,3,4,3,2,3,3,3,3,2,2,3,2,3,3,3,3,3,3,3,3
2b252ba5675403d822be75c5831df9fc,5,4,5,5,4,2,3,3,4,2,4,3,2,5,3,3,5,3,3,2,3,5,4,3,3,4,3,5,4,4,5,5,5,2,5,4,5,3,3,2,5,2,5,5,5,5,5,2,4,3
88b7afc5bf08c03f6ac43b846a842b55,4,4,4,3,3,2,2,4,4,3,4,4,3,4,2,3,3,4,3,2,3,3,3,4,3,3,3,4,4,3,3,4,4,3,4,4,5,2,1,2,5,4,4,4,2,5,5,4,5,3
5fbaf596d727fd9b403f0a04cfdc7ee6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
af4a88df59c0df41ee7fca0ca57fba3a,4,3,4,3,3,3,3,3,3,3,4,4,2,4,2,3,2,3,3,2,1,3,3,2,3,2,2,2,3,2,2,3,2,3,3,3,3,2,2,2,3,2,3,3,2,3,3,2,3,2
9b430de7406c68bb31fd726c99ac3558,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
77174b6a21fc52977ea8a50f8e325beb,4,3,5,4,4,3,4,5,4,3,5,5,4,5,3,5,4,4,4,2,4,5,3,3,5,5,2,4,5,5,3,5,4,3,4,4,5,4,2,2,4,3,4,2,4,5,5,3,5,4
60085c119be41ce2a56c2576583d821c,4,3,3,4,3,5,5,5,3,5,5,5,4,4,4,4,3,4,4,3,3,4,3,4,3,4,2,3,4,4,3,4,4,2,4,4,4,2,4,3,4,2,4,4,4,4,4,4,4,2
3750e5317d2967d407e66236ad3b7ab5,4,4,5,4,4,4,3,3,3,3,4,4,3,4,3,4,3,4,3,3,2,3,4,3,2,3,2,3,5,3,3,3,2,3,3,5,4,3,2,2,3,3,3,4,3,3,3,5,4,3
32e7400bb54ff66588587d2f2b1b22c2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,2,5,5,5,5,5,5,5,5,5,5,1,1,5,5,3,4,5,5,5,5,5,5,5
8b1862b185a8d8e375ab781e55e3c39a,5,5,5,4,4,5,4,5,5,5,5,4,5,4,5,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,2,5,2,5,5,3,4,4,5,5,5
9879db96946fbb8a3e255ab8815c577e,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,4,5,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3
ef64bcdb755a678ecea401b713fee614,4,4,5,5,4,2,4,4,3,4,4,4,1,4,3,4,4,2,4,3,4,4,3,4,4,3,2,4,5,2,4,4,3,2,3,4,5,2,2,4,4,2,5,5,1,2,2,4,1,3
6ae71a054e9a503a1f0950de131833a2,4,5,4,4,5,3,3,5,5,4,5,5,5,5,3,4,4,4,4,2,3,4,3,4,4,3,2,5,5,5,5,5,4,2,5,3,5,4,2,3,5,2,4,5,4,5,5,3,3,3
1d6a9b03150137d40a4b024518aa0fa6,4,3,4,4,5,2,1,2,4,4,5,5,2,5,2,2,3,4,4,2,1,1,4,4,2,4,3,4,2,4,3,3,4,1,2,3,5,1,3,2,3,3,2,4,3,3,3,2,2,2
f79d398d62d5eaff8d7b1f9f6aaf65ab,4,4,5,4,5,4,4,5,5,4,4,5,3,4,3,4,4,4,4,3,3,4,4,3,4,4,1,4,4,3,4,4,4,2,4,4,4,2,2,2,3,1,4,5,4,4,4,3,2,2
f0c4f08113a2bc5a9275dd881c616a92,3,3,3,3,2,2,2,3,3,2,3,3,3,3,3,4,3,2,2,3,2,3,3,2,3,3,3,3,4,2,2,4,3,3,3,3,4,2,2,3,4,3,3,4,4,4,4,2,3,3
7359eff18cfd86cf045a149530e26627,3,3,4,4,3,2,2,2,3,1,4,4,2,4,3,4,4,4,4,3,3,3,3,3,3,3,2,3,4,3,3,3,3,2,2,3,3,2,2,2,4,4,4,4,4,4,2,4,4,4
4e4fc034dea12369dc5de555ad478a07,4,3,4,3,4,4,5,2,4,4,4,4,3,4,2,4,4,4,4,2,2,4,4,4,2,2,2,4,4,3,3,4,3,3,4,4,2,2,2,1,3,2,3,4,2,4,4,4,4,4
d5a1f82d20610cfc2ee2df22e16ad238,4,5,5,3,4,3,4,3,4,3,5,5,3,4,2,4,4,3,4,3,2,4,4,2,4,3,2,3,4,2,2,2,2,3,2,4,5,2,2,2,3,2,3,4,2,2,2,1,1,1
e4f677ad43c84ada8abc579c6abf9aee,5,4,4,4,5,5,5,4,4,4,4,4,3,4,4,4,4,4,4,5,4,3,4,3,3,4,2,4,4,4,4,4,3,4,3,4,4,2,2,1,1,1,5,5,5,5,5,3,1,1
a2dc2d0036c53b22cb9fb6bc280809f5,4,3,5,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,3,5,4,3,5,4,5,2,5,5,4,5,1,3,2,5,1,5,4,5,5,5,2,4,1
65e452ca8afdf0ba6a8cbc4af63da728,2,2,3,3,4,3,3,3,2,3,2,4,1,1,3,4,4,3,4,5,3,4,5,2,3,3,2,2,4,3,3,1,3,4,1,4,4,5,1,2,4,1,3,5,1,5,5,2,4,1
995eae68fe66f02aa88128425cc87e81,4,4,3,4,5,4,4,3,4,4,4,5,3,3,3,3,2,4,4,4,3,5,4,3,3,4,3,4,5,4,4,4,4,3,4,3,4,2,3,3,4,2,4,3,3,5,5,5,3,3
0c7b9053af0850d3eaa8b61de50a26cd,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,5,5,5,5,4,1,5,5,5,5,5,5,1,4,5,5,1,2,1,5,1,5,5,5,5,5,5,5,4
3d2fd5b219300a9aee7b21887a24c539,5,4,5,5,5,5,5,5,5,5,3,5,3,5,5,5,5,5,5,2,3,5,5,4,4,5,1,3,5,4,5,5,5,2,4,5,5,2,2,2,5,1,5,5,5,5,3,2,1,1
b3544e076d49acb0dd2af969419895f0,4,4,3,3,2,4,4,5,4,4,3,5,3,3,2,3,4,4,2,5,2,4,4,4,2,3,3,4,5,5,2,2,3,3,1,4,2,2,2,3,4,2,2,5,2,5,5,3,5,3
320c71e05fde5152c26575798bfeb953,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,2,4,5,4,4,3,4,1,5,5,5,5,5,5,3,4,4,5,1,1,1,5,1,5,5,3,5,5,4,5,5
92f1d409e9283fc62ebc7d59279f15c3,3,3,3,3,4,3,3,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,2,2,3,3
5d83718570cad6c421fc5c9e9b80159e,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
98a2576c48530076abcaf557f266efd9,4,4,4,4,3,5,3,5,5,4,5,5,2,2,3,4,4,3,3,1,1,1,4,3,2,5,1,1,3,2,3,5,3,2,2,3,5,3,1,1,3,1,3,4,3,5,1,3,1,1
5104564f160fb05b4b79bbdb09c03c4f,5,4,5,4,3,3,3,5,3,3,4,5,4,4,3,4,4,4,4,3,2,4,4,2,2,2,1,3,4,4,4,4,4,4,4,4,4,2,1,1,1,2,3,4,3,4,4,4,4,2
3723be496725be52bc640fd39aea51e6,4,3,4,4,4,4,4,2,3,4,3,4,2,3,3,4,2,2,2,5,2,4,4,1,4,5,3,3,4,1,3,2,2,3,4,5,5,5,3,3,1,3,3,3,4,2,2,2,2,2
b7848fb18dbf386464e7cb7c37758241,3,4,4,4,3,4,3,4,3,4,4,4,2,4,3,3,3,3,3,3,3,3,4,4,3,3,2,3,3,3,3,4,4,2,4,3,3,2,2,2,3,2,3,3,3,4,4,2,2,2
8792667543b9f7376fb03c96b4b485a6,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
cb75e24ff92bb3f07f0051b945d5295b,4,4,4,4,4,4,4,3,4,3,4,4,3,4,3,4,3,3,3,2,3,3,3,3,3,4,3,3,4,3,3,4,4,3,3,4,5,3,1,2,3,2,4,3,3,4,4,4,4,4
579c29c5407ed999b692374653d25a61,4,3,4,3,5,4,4,2,3,4,3,5,1,3,3,4,3,4,4,3,3,4,4,2,4,3,1,3,4,3,1,3,3,2,4,4,4,1,1,2,4,3,2,4,1,4,3,3,2,2
93229bfed1b03a573e6139c21fc4e5c7,3,3,4,4,4,4,4,4,3,4,4,3,4,3,5,4,4,4,4,4,3,3,5,3,5,3,3,4,5,4,3,3,4,3,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3
f1641addf883c1130a801d06d07eef4c,4,4,4,4,4,4,3,4,2,4,3,3,2,4,3,4,3,3,3,2,3,4,3,2,4,4,3,3,4,4,4,4,4,5,3,3,5,1,2,1,5,2,5,4,2,5,5,3,3,3
52de7db1d670939f4381ac9c9e0e4f38,3,3,4,2,3,4,4,4,2,4,4,4,4,3,4,4,2,1,1,1,2,3,3,3,3,4,5,3,4,3,3,4,5,4,5,4,4,3,5,4,3,4,2,2,3,3,2,2,2,2
c2e15430ed832457c780c948b21c37ec,5,4,5,5,3,3,4,2,4,5,5,5,1,4,2,4,3,4,4,5,3,5,4,5,2,4,1,4,4,5,4,4,4,2,5,4,4,4,1,3,3,2,3,4,4,5,4,5,5,5
3e5fd8ec3f352d90ff3906ae403ebeac,5,5,3,5,5,3,4,4,5,4,5,4,3,4,3,3,4,4,4,3,3,4,4,5,3,4,2,4,4,4,5,5,4,3,4,5,5,1,1,1,4,2,4,4,4,5,4,5,3,2
6f07da24588ef7be16618bbe848d2aa6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4,4,4,3,4,2,4,4,4,4,4,4,2,4,4,5,2,1,1,4,2,4,5,3,4,5,4,5,4
7ba601138e531ca65131aaafdd0b0fca,3,3,4,4,4,4,4,1,4,5,1,1,1,1,1,3,3,3,3,5,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,4,1,1,1,1,1,3,1,3,3,3,2,1,1,3
321fe53fdc9f70e4d17930e03cbd49e7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2,4,2,4,4,2,4,4,4,4,4
f83882e0705489c3c0514fe226fdda4f,4,4,5,5,5,5,5,3,4,4,3,3,2,3,5,5,3,4,4,3,2,4,3,2,4,3,2,4,4,3,4,5,4,2,4,4,4,3,2,1,4,2,4,5,2,1,1,2,1,1
d5d6ef4cf638f306e8948582b7662c45,4,4,4,4,5,4,4,4,5,3,5,5,5,5,2,5,4,5,5,1,2,4,4,3,3,4,1,5,5,5,5,5,5,1,3,5,5,1,1,1,2,1,2,5,4,4,4,4,3,4
97ff350207ca6a952e2b62129e0549f0,4,4,4,4,5,2,2,2,4,2,5,5,4,4,3,4,3,5,4,3,2,4,3,1,3,3,3,3,4,2,3,4,3,3,4,4,3,3,2,3,4,3,2,4,1,5,5,1,5,4
76fa75f0e9cd794207dda975ca84dfb3,4,4,4,3,5,4,5,4,4,5,5,5,3,5,4,4,4,4,4,3,3,5,4,4,4,5,2,3,5,3,3,4,4,3,5,5,5,1,1,1,5,3,5,4,5,5,5,4,5,4
8e72970e2fdad1fa564d800ba15d72c4,3,4,4,4,4,4,4,4,4,4,2,4,4,2,2,3,3,2,4,2,2,4,4,4,2,3,3,3,4,4,2,4,4,3,1,4,5,2,1,2,5,2,4,5,4,4,3,1,1,1
cdac3b51658dd26dd9cb7a70260f9af5,4,3,4,4,5,3,5,3,4,4,3,3,4,3,1,3,3,4,4,2,3,3,3,2,3,2,1,2,5,3,3,5,5,5,5,5,5,2,1,1,3,1,3,2,2,4,4,3,3,3
d21e4243dd618580580846f676c2b85a,4,4,4,4,5,4,5,5,4,5,3,4,5,4,4,5,4,4,5,3,3,4,4,3,4,4,2,4,4,3,3,4,3,3,4,4,4,4,3,2,4,2,4,4,3,5,5,3,5,3
