userid,srl_m_1,srl_m_2,srl_m_3,srl_m_4,srl_m_5,srl_m_6,srl_m_7,srl_m_8,srl_m_9,srl_m_10,srl_m_11,srl_m_12,srl_m_13,srl_m_14,srl_m_15,srl_m_16,srl_m_17,srl_m_18,srl_m_19,srl_m_20,srl_m_21,srl_m_22,srl_m_23,srl_m_24,srl_m_25,srl_m_26,srl_m_27,srl_m_28,srl_m_29,srl_m_30,srl_m_31
a6a0726e8604766b4636749d9203842b,4,3,3,4,2,4,5,5,4,4,3,5,3,4,5,4,5,4,3,2,4,3,2,2,3,3,5,5,5,5,4
ef3a6cc38845548b4329271ac48d638d,2,2,3,2,4,3,2,2,2,4,3,3,3,4,4,5,4,5,2,1,4,2,2,2,2,2,4,3,2,4,3
6df42c634fbdd9f3c1a33219e89e4939,5,4,5,5,3,3,2,3,4,5,5,5,5,5,4,4,4,3,2,5,4,4,3,3,2,3,1,3,3,5,5
86348207eecbbfef7db739a2f6595e18,1,1,5,1,5,5,5,5,5,5,3,5,4,3,3,3,3,3,5,1,5,1,3,3,4,3,4,5,5,5,3
6d5a2a59f6f376602a835fe57c70455b,4,4,5,4,3,3,3,3,5,5,4,5,4,5,4,4,5,5,3,3,4,4,3,3,4,3,4,4,3,3,3
acc2ce1e332284a8a55fb7e2fd8bf7c3,3,3,3,2,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,2
a0dce576762dccbadb3476bad1732c82,4,4,4,5,5,5,5,5,4,4,4,4,4,5,4,3,4,4,4,4,5,4,3,4,4,4,5,5,5,4,4
4c2a6bec22f436e1b14bbefa24443b4d,5,5,5,5,5,5,4,4,4,3,4,5,5,5,5,5,5,3,4,4,5,4,5,5,5,5,2,2,2,2,2
87959ef435c61f280e3402229c796940,5,5,5,4,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,1,1,3,1,3
ca7f48cb0d61ed7c967adf1a0010367e,4,4,4,2,5,5,5,2,3,4,4,4,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,2,1,2
c3b33b73130d1e4649f10117f7508195,4,4,4,4,4,3,3,3,4,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,2,2,2
95289197f5de3bb81c7622133a0199ee,4,4,4,4,5,4,5,5,4,4,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,3,3,3,3,3
deab088838618d0f80db74ae4a277269,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
b1dfc5c6ec04d46d1823c5fa972ad320,5,5,5,5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,5,1,1,1
6cc389eece38fcddd331c72f753c5975,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
736e9931d88556a07c2a3f480e09b1d2,5,5,5,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,1,5,2,1,1
ea0ea0da0765b6d870f5370ce4a82470,4,4,5,5,3,3,4,3,4,5,4,5,4,5,4,4,4,4,3,3,5,3,4,4,3,3,3,4,2,2,4
b612ade3da9ca5b141bd5b5c82d65661,4,4,4,4,3,4,5,3,5,5,5,5,4,4,4,4,5,5,4,4,4,4,5,5,3,4,1,2,2,2,1
72394ab8381f0de12e291475be08b98e,4,4,5,2,5,5,5,4,5,5,5,5,4,5,3,2,3,2,2,2,3,2,2,2,2,2,2,5,5,3,5
d442177ac2690d76b6cca4809ea19b4b,5,3,4,3,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,1,1,1
d05a3122373a2497de8acdf3b3219881,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,1,1,5
ae4cd8b7e9fe85bcb54905f455eae6a0,3,3,3,3,4,4,3,3,4,4,3,4,3,4,3,4,3,3,3,2,4,3,3,3,3,2,4,3,4,3,4
713ad2e409929171d3605dff2582cb02,4,5,5,4,3,1,3,3,5,5,5,5,5,5,4,4,5,2,3,5,5,5,3,3,5,5,1,4,1,1,1
f831a9b55727ce80bc3fd1f9f2c0b8e2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,1,1,1,1,1,1,1,1,4,4,4,4,4
e36e1b2379b782449d93599f61313903,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,4,4
27614465047cae7f203628300eb536bf,3,3,4,4,5,5,4,2,3,5,3,4,3,4,4,3,4,4,3,4,4,4,3,3,3,3,4,3,5,4,3
81fe769ba909499261345a4d03e50c8c,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,4,4,3,4,4,4,3
4851e6bf516e3d831e8604c4e70a2b79,4,4,5,3,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,2,4,3,3,2
aaee131b37ed3e69b3ce1cf8bb2f8916,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,2,1,2,1,4
cc82a691a9d42378d0235679ee846382,3,4,4,5,4,2,3,2,5,5,4,5,4,5,5,5,5,3,3,3,4,2,2,2,2,2,3,4,4,2,3
e6055fd5d6786c9bb2ddb9a1c3772486,4,3,5,4,4,3,5,2,5,4,4,4,3,4,4,4,5,4,4,4,5,4,3,4,4,4,1,4,2,3,1
0ef779a0ef74e9253d8225a9a441c686,4,5,4,5,2,1,2,1,4,5,4,5,4,5,3,4,3,2,3,4,3,4,4,5,4,4,1,1,1,1,1
29de00e3c82d0cddb37ccec586b8e831,5,4,5,4,5,2,4,3,4,5,5,5,5,5,4,5,5,4,4,3,4,4,4,4,3,4,1,2,1,1,1
fa4589c1132e863e8fb11d5caa87078c,3,3,3,3,4,4,4,3,4,4,3,4,3,4,4,3,4,3,4,4,4,4,3,3,3,4,2,3,3,3,4
a12863a9aef48fc245eac1603d55c6cc,3,3,4,3,4,3,4,3,3,4,3,4,3,4,4,4,4,4,4,3,4,3,4,4,3,4,3,3,3,3,3
10066f38588b266eee5e182dfbad5174,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,2,2
24664a3d307fec2195e8da200a2fc55c,4,5,4,4,4,3,4,3,4,4,4,5,4,3,5,3,4,3,4,4,5,4,4,4,4,5,3,4,2,1,2
8270173f21e4f8e911a75603664f69e7,2,2,3,2,4,4,3,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,3,3,3,3,3
d05e59df7faa086ea28d03f95f8607c9,2,2,4,4,4,2,4,3,3,5,3,3,3,5,3,4,3,3,2,2,3,2,2,2,1,2,5,5,5,5,5
e2b9d430faefc5ab8eb3d48b1f7585d0,2,2,3,1,3,3,4,2,4,3,3,3,3,3,3,3,4,4,3,1,1,1,1,3,1,1,2,4,4,4,4
612358c8668fc2cdb72e711cce6dd33e,4,4,5,2,3,2,4,3,5,5,4,5,4,4,4,4,4,4,4,3,4,3,3,3,3,3,2,3,3,3,3
cd4cdd589d72c633b5b53538350f98f5,4,4,3,3,4,5,5,3,1,3,1,5,1,4,4,1,1,1,2,2,3,1,1,2,1,2,3,3,4,4,5
bc5f7438635e7a8ee4069fae60043ee6,4,3,4,3,3,4,3,3,4,3,4,5,3,3,3,3,3,3,2,3,4,3,3,2,3,3,3,2,3,2,3
0ba80e8735dca5783b378780d6f7d96d,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,3,4,1,3,4,4,4
6a850f19c8103239bf3425ae5470ec0b,3,3,3,3,2,2,2,2,4,3,3,4,3,3,3,2,3,2,3,3,4,3,3,3,3,3,2,2,2,2,2
d365d6ac23d31d29c01f82fddb54e06a,4,4,4,4,3,3,4,1,4,4,4,4,4,4,4,4,5,4,3,3,4,2,3,3,3,3,1,4,1,2,3
012ccb0ab202136a0ae506d40137fb91,4,4,4,3,3,3,5,3,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,2,4,3,2,3
470e7aaf4bbb6f20fc8da16afdc5cfd6,4,5,5,3,4,3,5,3,5,5,5,5,5,5,5,5,5,5,4,3,5,3,3,4,4,4,4,5,3,4,4
f631f5b21880122a178934514aa400ea,5,5,5,4,4,3,2,4,5,5,3,4,4,4,4,3,4,3,3,5,3,4,3,3,3,3,3,2,1,2,1
ae2f95705c3f897422a0e919dc68e21a,3,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
427cbe70a4514932a76cb32717be9677,4,3,3,3,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,2,2,2,3,2,3,4,4,4,4,4
1e34fc48101bc22a8462316e659ae283,4,4,4,4,4,4,4,4,4,4,3,5,4,5,4,5,5,4,4,3,5,5,5,3,4,4,4,5,4,4,5
31ed208f4e45f858f24199efd8cc0826,4,5,3,4,3,2,1,3,4,4,3,4,3,4,4,3,4,4,2,2,5,2,2,3,4,3,2,4,4,3,3
a3942137c50fe821d589ddd9da8ee650,4,4,5,4,4,4,3,2,3,4,4,4,4,4,3,3,3,2,2,3,3,3,2,3,3,3,3,3,3,3,2
a4fd5de6aca11336d723daf404105e87,4,3,5,3,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,1,2,1,1,1
98ef5fdb970d4183980448c0da3e8f14,5,5,5,5,2,2,4,2,3,4,4,4,3,5,5,3,3,3,3,5,5,5,3,4,5,4,1,3,1,1,1
7920b55ea982dff9979297459e86dc70,3,4,5,5,5,1,5,2,3,4,3,5,5,5,5,5,5,5,5,3,5,3,5,5,4,5,1,1,1,1,1
89294df5e4214ea1164888f4280e0c06,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4ad5a323f52823cfffafc4863b1a4ba9,5,5,5,5,4,3,4,2,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,2,3,4,5
9331eeb150caab39eb72cb1f3e8c8b5c,4,4,4,4,3,3,3,3,4,4,4,4,4,4,5,5,5,4,4,5,5,5,4,4,4,4,2,2,3,3,3
df00be3c6d9532795f5746e68603263c,5,5,5,5,5,4,5,4,4,5,4,5,5,5,5,4,5,4,5,5,4,4,5,5,4,5,5,4,4,3,3
b77103de62d173bf5a25f16b358d5725,4,4,4,4,3,5,4,4,5,4,4,4,4,5,5,4,5,4,4,4,5,3,3,4,4,4,3,4,3,3,3
cdbfa9161999c800653297110253d07b,3,2,4,2,5,4,5,5,4,5,3,5,3,5,3,2,2,1,3,2,3,1,1,3,2,3,5,5,5,5,4
a5b8d98aa354c067a53ec0d55a2ae574,3,4,4,4,4,3,2,3,3,4,4,4,4,4,3,3,3,3,3,2,3,3,3,3,3,3,4,4,4,4,4
3ffc472463f45e721eba888c571801f9,5,5,5,5,5,5,5,5,4,4,4,4,0,4,4,4,4,4,5,4,5,3,4,5,4,4,2,4,4,3,3
a950b5467cb42eff9068dbf2b750dcfa,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,1,2,3
2b2a0982179d48f1e8630edb15558915,4,4,5,4,3,3,4,3,5,4,4,4,3,4,4,3,4,5,3,3,4,4,3,4,4,4,2,4,2,4,5
f2f24051b519e7d15fd74ed33cdb6525,4,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
78e175e4b4cfb1c8883057ae97600a46,5,5,5,5,5,0,5,5,5,5,5,5,5,5,2,3,4,3,4,5,5,5,5,4,4,4,1,1,1,1,1
f8497771742a7af3d98553098582bd34,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,3,4,4,3,3,4,3,4,4,4,4,2,4,2,4,2
ab998df4d024048983a08f5b0ef8f202,4,4,0,4,5,3,5,5,5,5,5,0,5,5,4,4,4,4,4,3,4,4,4,4,3,4,2,4,4,3,4
48245f5393e9819cc5465f00ad214e1b,3,4,4,4,4,4,4,4,2,3,4,3,3,3,4,4,4,4,3,4,4,4,3,3,4,4,2,2,2,4,2
43614526a6c8258926cdad20e022d95b,3,3,3,3,5,5,5,4,3,3,3,3,3,3,3,3,3,2,4,3,5,3,4,4,3,3,3,4,5,4,5
3d460d9f6feb1d3f9e142cd844343e0b,3,3,3,3,2,4,4,2,4,4,3,4,3,4,3,4,3,3,4,4,4,4,3,4,4,4,3,3,4,3,3
bbe1e5cbf6a295ea505116e51e54826c,3,3,3,3,3,3,3,4,3,4,3,4,3,4,4,4,4,4,2,3,4,4,3,3,3,4,3,3,3,4,4
25530cbca34fd5b1afc5a985147c66e1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3
19056c5976e9a570a9d075ffd241dc8c,5,5,5,5,5,4,4,4,5,5,5,5,4,5,4,4,3,3,4,3,3,4,4,4,3,4,2,5,3,2,4
3e7fcab5c8f636064e5b25c6abacb4bf,0,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,4,4,3,3,4,3,3,3,3,3,3,3,3,2,3
62fec5651a73c2199c3ecd2016b401ad,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
b5393db86f04cff048fbfad5342bf6d2,4,3,4,3,4,3,3,3,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,0,4,4,3,4,4,3,3
7ac415f65664aa5dd3c25c2dcd519af1,3,4,3,2,4,5,4,5,5,5,5,5,5,5,5,2,5,2,3,3,4,2,3,2,4,3,4,4,4,4,4
129ddde18a68ca2abcdc3dfed2193e8d,4,4,5,4,5,3,5,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,3,2,1,1
193d4fd1d794b5f85e8d69d85318f053,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4
d8a7f0e703428eb3c7fcfdc093dc4e61,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,0,4,3,3,4,4,3,3,4,4,4,4,4,4,4
ea45fca27cd732f025765bae5fbad81e,3,4,3,4,4,0,4,4,3,4,4,4,3,4,4,4,4,4,3,2,4,3,4,3,3,3,4,4,5,3,3
ea04e6e76c69e6d96f084a5a54770688,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,4,3,3,3,3,4,4,3,3,4
234c16857c59d7cade139c6457200b6a,4,4,4,2,4,4,4,3,4,4,4,5,4,5,4,3,4,3,3,4,4,3,3,3,4,4,3,4,4,3,3
9e4aed84a5c53a17c29d570ac527ce0a,3,3,3,3,4,5,5,3,4,4,4,4,4,5,4,4,4,4,4,3,5,4,3,5,4,5,2,4,4,4,4
cbee50df44af40b3865afd033d2e2fd2,5,4,3,5,3,2,4,2,4,3,3,4,4,4,2,4,4,3,5,5,5,4,5,5,5,4,1,5,1,1,4
38072b9ea3fd99917b417c1ee712de83,5,5,5,5,5,5,5,3,4,4,4,3,3,4,4,4,4,3,4,4,4,4,4,4,4,4,2,3,2,2,2
559d8cca791d0ad9ac79d4d309d9c7c3,5,5,5,4,5,3,4,4,4,5,4,5,4,4,4,4,4,3,4,4,5,4,4,4,4,4,1,4,3,4,3
9fdc1083486fd8a677d32fa2f848317c,4,4,4,4,2,2,3,2,5,5,5,5,5,5,5,4,5,4,3,2,3,3,2,2,4,4,2,2,3,3,1
92fcd7a854eb341782743e532e0a7914,3,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,4,3,4,3,3,3,3,2,3,4
c5d3e9cf5b5209fff8f2a41e8b2d41c7,4,3,3,3,3,3,4,2,4,4,4,4,4,4,4,2,3,2,3,3,4,4,3,4,3,3,3,4,3,3,3
80be0f3478e6b7602d439c9c92b4f62a,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,5,2,4,4,3,0,4,4,4,4,4
9726a91e5bb238f6a05e657adb40738c,4,4,5,3,5,5,5,5,3,4,4,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,4,3,4,3,3
c8aca66b7f628ee9972477622f89592c,3,3,4,3,4,3,4,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3
6c8d0f74f8332323d0e46da1ec7d9afd,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0,4,3,3,3,3,3
a457518f33a1a7e9d835c28bfe66327a,3,3,5,2,5,5,5,4,4,4,4,4,4,4,5,4,5,3,4,4,4,3,4,4,4,4,2,3,2,2,2
0c954a3dd67f4cddc79bc2c80479b302,4,4,4,4,4,4,4,4,3,0,4,4,4,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
78ed069a3a944d4463d39ffa74138614,4,5,4,3,4,3,5,2,4,5,4,5,4,5,3,3,3,4,4,3,5,4,4,4,4,4,3,4,3,2,4
8e3b87ff984dbaf691a0f32754006956,3,3,4,3,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,3,4,2,2,2,1,2
798c80d80b22180369817438da6533fc,4,3,3,4,4,3,4,3,4,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,3,4
096db99c63cfb79a7998e1ef5cea6210,3,4,4,4,4,2,3,3,4,4,3,4,3,4,3,4,3,2,2,3,4,2,2,3,1,3,4,4,4,4,3
34024522c588638da7de356d1b3129a7,3,3,4,4,2,3,3,3,4,4,4,4,4,4,4,4,4,4,3,2,3,2,3,2,1,2,4,4,4,4,4
ee18229e2fee5bc9e24cc34229389079,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
50833fc4f0545d915ee06bed8670743e,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,2,4,2,4,4,4,4,4,4,4,4,2,4,4,4,4
5b6ff8974f7849c3295a0e4b40f544ab,4,4,4,4,4,3,5,3,3,3,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,1,4,1,1,1
9b827e2a3e91f1ae4321e0ce7d322928,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2
322a862b781ff2646b133939b63a9749,4,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,3,5,4,4,4,5,4,4,4,3,4,2,3,3
6fb626c4987ba6a4c496d8de3d09e6ae,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
6aab705667e7d55117a2a16f34259edc,4,4,3,4,3,2,3,2,4,3,4,5,3,4,3,4,3,5,4,4,4,4,4,4,4,4,3,4,2,3,3
4d40e87341d46284a12c9c71a11d7416,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,3,4,3,2,4
8f2e822507d6694953346075a22d646a,5,5,5,4,4,4,4,4,4,4,4,5,5,5,4,4,4,3,4,4,4,4,4,5,5,5,2,3,2,2,2
3e2eb97636481fc88a08eebda8a00eb5,3,3,3,3,4,3,4,3,4,4,3,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,2,4,3,3,2
1d2c0e7352e53eb88c848782f26c92f0,4,4,5,4,3,3,3,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,2,2,2
56b78bc935664e23f56f1874e13723b3,4,5,4,4,4,3,2,3,5,5,4,5,4,4,4,3,4,3,3,2,4,2,3,3,3,3,2,2,2,2,4
0eba5c6f653c53f97868dd5471c75fec,4,4,5,4,5,3,4,3,3,4,4,5,4,4,4,3,4,3,4,3,4,3,4,4,4,4,2,4,3,2,3
36ec508b9810ba3826cc8b28d311c0db,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,4,3,4,4,3,3
c888bd92ba873055951e8e75b4471e1e,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,2,3,2,3
